Name,Company Name,Business Phone,Address 1: Address Type,Address 1: County,Address 1: Fax,Address 1: Latitude,Address 1: Longitude,Address 1: Name,Address 1: Post Office Box,Address 1: Shipping Method,Address 1: Telephone 1,Address 1: Telephone 2,Address 1: Telephone 3,Address 1: UPS Zone,Address 1: UTC Offset,Address 2: Address Type,Address 2: City,Address 2: Country/Region,Address 2: County,Address 2: Fax,Address 2: Latitude,Address 2: Longitude,Address 2: Name,Address 2: Post Office Box,Address 2: Shipping Method,Address 2: State/Province,Address 2: Street 1,Address 2: Street 2,Address 2: Street 3,Address 2: Telephone 1,Address 2: Telephone 2,Address 2: Telephone 3,Address 2: UPS Zone,Address 2: UTC Offset,Address 2: ZIP/Postal Code,Annual Revenue,City,Country/Region,Created By,Created On,Customer,Description,Do not allow Bulk E-mails,Do not allow E-mails,Do not allow Faxes,Do not allow Mails,Do not allow Phone Calls,E-mail,E-mail Address 2,E-mail Address 3,Est. Close Date,Est. Value,Fax,First Name,Home Phone,Industry,Job Title,Last Date Included in Campaign,Last Name,Lead Source,Middle Name,Mobile Phone,Modified By,Modified On,No. of Employees,Other Phone,Propriétaire,Pager,Preferred Method of Contact,Priority,Rating,Sales Stage,Salutation,Send Marketing Materials,SIC Code,Source Campaign,State/Province,Status,Status Reason,Street 1,Street 2,Street 3,Topic,Web Site,Yomi First Name,Yomi Full Name,Yomi Last Name,Yomi Middle Name,ZIP/Postal Code,Est. Close Date Year,Est. Close Date Month,Est. Close Date Day,Est. Close Date Hour,Est. Close Date Minute,Est. Close Date Second,CreatedDate,Id
HenrietteThaulow Andersen,Magasin de sport LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Saint-Étienne,,First name Last name,1/24/2008,,180 vélos cette année.,,0,0,0,0,someone@example.com,,,,"36 000,00",,HenrietteThaulow,,14,Assistant aux achats,,Andersen,Publicité,,,First name Last name,1/24/2008,90,,Gail Erickson,,2,,1,,,0,,,Rhône - Alpes,Ouvert,1,445.0, avenue du Mardi,,Commandera environ 180 vélos cette année.,,,,,,42000,0,10,29,21,42,45,2021-04-05 11:19:57.708896,89
Tjeerd Veninga,Location de VTT XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Clermont-Ferrand,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"18 000,00",,Tjeerd,,14,Directeur des achats,,Veninga,Autre,,,First name Last name,1/24/2008,44,,Gail Erickson,,3,,1,,,0,,,Auvergne,Inclus,3,334.0, boulevard du Jeudi,,5 vélos Route-150 ou 250 vélos.,,,,,,63100,0,11,29,21,42,45,2021-04-05 11:19:57.708896,90
Peter Brehm,Détaillants du sport XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Strasbourg,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"11 500,00",,Peter,,14,Directeur des achats,,Brehm,Autre,,,First name Last name,1/24/2008,25,,Gail Erickson,,4,,3,,,0,,,Alsace,Inclus,3,113.0, rue du Jeudi,,VTT - peut-être 50,,,,,,67100,1,0,23,21,42,45,2021-04-05 11:19:57.708896,91
Elena Nicolello,Entreprise de cycles XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Reims,,First name Last name,1/24/2008,,Nous a trouvé sur le Web,,0,0,0,0,someone@example.com,,,,"76 500,00",,Elena,,14,Propriétaire,,Nicolello,Web,,,First name Last name,1/24/2008,7,,Alan Jackson,,1,,2,,,0,,,Champagne - Ardenne,Ouvert,1,124.0, rue du Jeudi,,Ils possèdent un magasin en ligne pour les VTT uniquement,,,,,,51100,1,3,13,21,42,45,2021-04-05 11:19:57.708896,92
Laurent Penisson,Équipements de sport ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Ajaccio,,First name Last name,1/24/2008,,Pages jaunes,,0,1,0,0,someone@example.com,,,,"36 000,00",,Laurent,,14,Assistant aux achats,,Penisson,Autre,,,First name Last name,1/24/2008,70,,Patricia San Juan,,2,,2,,,0,,,Corse,Ouvert,1,223.0, rue du Lundi,,Nouveau magasin ouvert cette année - à suivre,,,,,,20090,1,3,13,21,42,45,2021-04-05 11:19:57.708896,93
Emmanuel Dubuc,Entreprise de vélos LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Poitiers,,First name Last name,1/24/2008,,Pages jaunes,,0,1,0,0,someone@example.com,,,,"96 000,00",,Emmanuel,,14,Assistant aux achats,,Dubuc,Autre,,,First name Last name,1/24/2008,52,,Gail Erickson,,2,,2,,,0,,,Poitou - Charentes,Inclus,3,223.0, avenue du Vendredi,,Aime nos VTT,,,,,,86000,1,3,13,21,42,45,2021-04-05 11:19:57.708896,94
Florence Flipo,Équipements de loisirs LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Marseille,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"76 500,00",,Florence,,14,Propriétaire,,Flipo,Autre,,,First name Last name,1/24/2008,17,,Alan Jackson,,4,,2,,,0,,,Provence - Alpes - Côte d'Azur,Ouvert,1,223.0, impasse du Mercredi,,Nouveau magasin ouvert cette année - à suivre,,,,,,13001,1,3,13,21,42,45,2021-04-05 11:19:57.708896,95
PerLund Jørgensen,Professionnels du cycle XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Orléans,,First name Last name,1/24/2008,,Nous a trouvé sur le Web,,0,0,0,0,someone@example.com,,,,"32 000,00",,PerLund,,14,Directeur des achats,,Jørgensen,Web,,,First name Last name,1/24/2008,44,,Gail Erickson,,1,,2,,,0,,,Centre,Ouvert,1,344.0, impasse du Samedi,,Ils possèdent un magasin en ligne pour les VTT uniquement,,,,,,45000,0,10,29,21,42,45,2021-04-05 11:19:57.708896,96
SørenSkov Klemmensen,Équipements pour VTT ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Rennes,,First name Last name,1/24/2008,,184 vélos cette année.,,0,0,0,0,someone@example.com,,,,"11 500,00",,SørenSkov,,14,Assistant aux achats,,Klemmensen,Publicité,,,First name Last name,1/24/2008,92,,Patricia San Juan,,5,,1,,,0,,,Bretagne,Ouvert,1,344.0, boulevard du Dimanche,,Commandera environ 184 vélos cette année.,,,,,,35200,0,10,29,21,42,45,2021-04-05 11:19:57.708896,97
Hans Gufler,Équipements pour VTT XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Amiens,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"64 000,00",,Hans,,14,Propriétaire,,Gufler,Autre,,,First name Last name,1/24/2008,18,,Jose Curry,,1,,3,,,0,,,Picardie,Inclus,3,225.0, avenue du Vendredi,,Aime notre casque en taille universelle,,,,,,80080,0,11,29,21,42,45,2021-04-05 11:19:57.708896,98
Christa Geller,Accessoires pour cycles ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Nice,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"51 000,00",,Christa,,14,Assistant aux achats,,Geller,Référence d'employé,,,First name Last name,1/24/2008,96,,Gail Erickson,,5,,2,,,0,,,Provence - Alpes - Côte d'Azur,Ouvert,1,112.0, boulevard du Samedi,,100 VTT,,,,,,O6100,1,0,23,21,42,45,2021-04-05 11:19:57.708896,99
Trinidad Lara,Accessoires pour vélos ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Orléans,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"18 000,00",,Trinidad,,14,Assistant aux achats,,Lara,Référence d'employé,,,First name Last name,1/24/2008,40,,Jose Curry,,5,,2,,,0,,,Centre,Ouvert,1,112.0, impasse du Jeudi,,50 VTT,,,,,,45000,1,1,22,21,42,45,2021-04-05 11:19:57.708896,100
Kenneth Cools,Magasin de compétition ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Bordeaux,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"1 200,00",,Kenneth,,14,Directeur des achats,,Cools,Autre,,,First name Last name,1/24/2008,32,,Jose Curry,,1,,1,,,0,,,Aquitaine,Ouvert,1,334.0, impasse du Mercredi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,33200,0,10,14,21,42,45,2021-04-05 11:19:57.708896,101
Fabricio Noriega,Centre de remise en forme XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Poitiers,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"23 000,00",,Fabricio,,14,Directeur des achats,,Noriega,Autre,,,First name Last name,1/24/2008,10,,Gail Erickson,,4,,3,,,0,,,Poitou - Charentes,Exclus,4,113.0, avenue du Mercredi,,Bon prospect pour des cadres,,,,,,86000,-1,9,30,12,0,0,2021-04-05 11:19:57.708896,102
Tanja Plate,Équipements pour cycles XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Limoges,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"1 200,00",,Tanja,,14,Assistant aux achats,,Plate,Référence d'employé,,,First name Last name,1/24/2008,89,,Patricia San Juan,,1,,2,,,0,,,Limousin,Ouvert,1,225.0, avenue du Dimanche,,100 VTT,,,,,,87100,0,11,29,21,42,45,2021-04-05 11:19:57.708896,103
Karin Lochbrunner,Location de cycles ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Poitiers,,First name Last name,1/24/2008,,Nous a trouvé sur le Web,,0,0,0,0,someone@example.com,,,,"32 000,00",,Karin,,14,Directeur des achats,,Lochbrunner,Web,,,First name Last name,1/24/2008,30,,Patricia San Juan,,2,,2,,,0,,,Poitou - Charentes,Ouvert,1,334.0, avenue du Dimanche,,Ils possèdent un magasin en ligne pour les VTT uniquement,,,,,,86000,0,10,14,21,42,45,2021-04-05 11:19:57.708896,104
Patrice Dupont-Roc,Magasin du vélo ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Limoges,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"32 000,00",,Patrice,,14,Propriétaire,,Dupont-Roc,Référence d'employé,,,First name Last name,1/24/2008,17,,Jose Curry,,1,,2,,,0,,,Limousin,Inclus,3,445.0, avenue du Samedi,,VTT et vélos de route ; peut-être des vêtements.,,,,,,87100,-1,9,14,12,0,0,2021-04-05 11:19:57.708896,105
Erwin Zischka,Professionnels de la remise en forme LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Ajaccio,,First name Last name,1/24/2008,,36 vélos cette année.,,0,0,0,0,someone@example.com,,,,"32 000,00",,Erwin,,14,Propriétaire,,Zischka,Publicité,,,First name Last name,1/24/2008,18,,Patricia San Juan,,1,,1,,,0,,,Corse,Ouvert,1,133.0, boulevard du Vendredi,,Commandera environ 36 vélos cette année.,,,,,,20090,0,10,29,21,42,45,2021-04-05 11:19:57.708896,106
Lukas Keller,Entreprise du sport ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 000,00 €",Lyon,,First name Last name,1/24/2008,,"À recontacter, leur situation a changé.",,0,0,0,0,someone@example.com,,,,"23 000,00",,Lukas,,14,Directeur des achats,,Keller,,,,First name Last name,1/24/2008,13,,Gail Erickson,,1,,2,,,0,,,Rhône - Alpes,Inclus,3,223.0, boulevard du Mercredi,,160 Route-450,,,,,,69001,0,11,29,21,42,45,2021-04-05 11:19:57.708896,107
Franz Kohl,Magasin de sport XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Rouen,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"22 000,00",,Franz,,14,Directeur des achats,,Kohl,Autre,,,First name Last name,1/24/2008,27,,Patricia San Juan,,1,,1,,,0,,,Haute-Normandie,Ouvert,1,445.0, avenue du Mercredi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,76000,-1,10,0,12,0,0,2021-04-05 11:19:57.708896,108
Alexander Eggerer,Professionnels des loisirs ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Rouen,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"3 600,00",,Alexander,,14,Propriétaire,,Eggerer,Référence d'employé,,,First name Last name,1/24/2008,16,,Gail Erickson,,4,,2,,,0,,,Haute-Normandie,Ouvert,1,344.0, impasse du Dimanche,,27 VTT,,,,,,76000,1,1,12,21,42,45,2021-04-05 11:19:57.708896,109
Martin Spona,Entreprise de performances XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Nancy,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"18 000,00",,Martin,,14,Propriétaire,,Spona,Autre,,,First name Last name,1/24/2008,6,,Alan Jackson,,5,,1,,,0,,,Lorraine,Ouvert,1,223.0, avenue du Jeudi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,54000,1,1,12,21,42,45,2021-04-05 11:19:57.708896,110
Sten Bennetsen,Fournitures de compétition LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Reims,,First name Last name,1/24/2008,,16 vélos cette année.,,0,0,0,0,someone@example.com,,,,"34 500,00",,Sten,,14,Propriétaire,,Bennetsen,Publicité,,,First name Last name,1/24/2008,8,,Patricia San Juan,,5,,1,,,0,,,Champagne - Ardenne,Ouvert,1,225.0, boulevard du Jeudi,,Commandera environ 16 vélos cette année.,,,,,,51100,1,3,13,21,42,45,2021-04-05 11:19:57.708896,111
Scott Konersmann,Specialty Sports Stores,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",,,First name Last name,1/24/2008,,A vu la démo lors de la convention sur le vélo la semaine dernière,,0,0,0,0,someone@example.com,,,,"11 500,00",,Scott,,32,Directeur des achats,,Konersmann,Autre,,,First name Last name,1/24/2008,20,,Jose Curry,,2,,1,,,0,,,,Ouvert,1,,,,Intéressé par le nouveau modèle VTT 500.,,,,,,,1,3,13,21,42,45,2021-04-05 11:19:57.708896,112
Karsten Schopp,Entreprise de performances ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"150 000,00 €",Nancy,,First name Last name,1/24/2008,,Nous a trouvé sur le Web,,0,0,0,0,someone@example.com,,,,"2 400,00",,Karsten,,14,Assistant aux achats,,Schopp,Web,,,First name Last name,1/24/2008,67,,Patricia San Juan,,1,,2,,,0,,,Lorraine,Ouvert,1,124.0, rue du Vendredi,,Ils possèdent un magasin en ligne pour les VTT uniquement,,,,,,54000,0,10,14,21,42,45,2021-04-05 11:19:57.708896,113
Christian Kemp,Centre du vélo LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Caen,,First name Last name,1/24/2008,,Pages jaunes,,0,0,0,0,someone@example.com,,,,"1 200,00",,Christian,,14,Directeur des achats,,Kemp,Autre,,,First name Last name,1/24/2008,49,,Patricia San Juan,,5,,2,,,0,,,Basse-Normandie,Ouvert,1,778.0, rue du Dimanche,,Nouveau magasin ouvert cette année - à suivre,,,,,,14000,0,10,29,21,42,45,2021-04-05 11:19:57.708896,114
Jean-Charles Colon,Équipements de remise en forme ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Rouen,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"32 000,00",,Jean-Charles,,14,Assistant aux achats,,Colon,Autre,,,First name Last name,1/24/2008,40,,Patricia San Juan,,1,,3,,,0,,,Haute-Normandie,Exclus,4,223.0, impasse du Vendredi,,Bon prospect pour des cadres,,,,,,76000,0,10,29,21,42,45,2021-04-05 11:19:57.708896,115
Irene Jøergensen,Équipements de compétition ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Amiens,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"66 000,00",,Irene,,14,Propriétaire,,Jøergensen,Autre,,,First name Last name,1/24/2008,15,,Patricia San Juan,,2,,3,,,0,,,Picardie,Ouvert,1,344.0, avenue du Mercredi,,Bon prospect pour des cadres,,,,,,80080,0,10,29,21,42,45,2021-04-05 11:19:57.708896,116
Heinrich Fischer,Entreprise d'activités ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Le Havre,,First name Last name,1/24/2008,,188 vélos cette année.,,0,0,0,0,someone@example.com,,,,"76 500,00",,Heinrich,,14,Assistant aux achats,,Fischer,Publicité,,,First name Last name,1/24/2008,94,,Patricia San Juan,,4,,1,,,0,,,Haute-Normandie,Ouvert,1,123.0, impasse du Mercredi,,Commandera environ 188 vélos cette année.,,,,,,76620,0,11,29,21,42,45,2021-04-05 11:19:57.708896,117
Heiko Elmsheuser,Distributeurs de VTT ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"30 000,00 €",Toulouse,,First name Last name,1/24/2008,,28 vélos cette année.,,0,0,0,0,someone@example.com,,,,"11 500,00",,Heiko,,14,Propriétaire,,Elmsheuser,Publicité,,,First name Last name,1/24/2008,14,,Jose Curry,,1,,1,,,0,,,Midi - Pyrénées,Ouvert,1,123.0, impasse du Jeudi,,Commandera environ 28 vélos cette année.,,,,,,31100,0,10,29,21,42,45,2021-04-05 11:19:57.708896,118
Elke Stangl,Professionnels du cycle ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Nantes,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"66 000,00",,Elke,,14,Assistant aux achats,,Stangl,Référence d'employé,,,First name Last name,1/24/2008,92,,Gail Erickson,,2,,2,,,0,,,Pays-de-la Loire,Ouvert,1,344.0, impasse du Mardi,,100 VTT,,,,,,44100,0,11,29,21,42,45,2021-04-05 11:19:57.708896,119
Dominik Steiner,Entreprise de remise en forme LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"80 000,00 €",Châlons-en-Champagne,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,0,0,someone@example.com,,,,"22 000,00",,Dominik,,14,Assistant aux achats,,Steiner,Autre,,,First name Last name,1/24/2008,76,,Jose Curry,,4,,3,,,0,,,Champagne - Ardenne,Inclus,3,223.0, avenue du Mardi,,À contacter dans 30 jours,,,,,,17620,0,11,29,21,42,45,2021-04-05 11:19:57.708896,120
Gitte Casparij,Professionnels du cycle LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Bordeaux,,First name Last name,1/24/2008,,Prospect d'une campagne publicitaire,,1,0,0,0,someone@example.com,,,,"54 000,00",,Gitte,,14,Propriétaire,,Casparij,Autre,,,First name Last name,1/24/2008,17,,Gail Erickson,,5,,1,,,0,,,Aquitaine,Ouvert,1,344.0, impasse du Mercredi,,"A renvoyé, par courrier électronique, un formulaire indiquant son intérêt pour les vélos de route",,,,,,33200,0,10,14,21,42,45,2021-04-05 11:19:57.708896,121
Gerwald Oberleitner,Détaillants pour cycles XYZ,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Paris,,First name Last name,1/24/2008,,Participe à notre concours marketing dont le prix est un vélo.,,0,0,1,0,someone@example.com,,,,"84 000,00",,Gerwald,,14,Propriétaire,,Oberleitner,Autre,,,First name Last name,1/24/2008,18,,Patricia San Juan,,1,,3,,,0,,,Île-de-France,Ouvert,1,113.0, rue du Mercredi,,Bon prospect pour des cadres,,,,,,75010,0,10,14,21,42,45,2021-04-05 11:19:57.708896,122
Andreas Herbinger,Centre du cycle ABC,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"300 000,00 €",Nice,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"3 600,00",,Andreas,,14,Directeur des achats,,Herbinger,Référence d'employé,,,First name Last name,1/24/2008,28,,Jose Curry,,2,,2,,,0,,,Provence - Alpes - Côte d'Azur,Inclus,3,113.0, boulevard du Jeudi,,31 vélos de route moins chers,,,,,,O6100,0,11,29,21,42,45,2021-04-05 11:19:57.708896,123
Tony Allen,Professionnels des loisirs LMN,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"100 000,00 €",Toulouse,,First name Last name,1/24/2008,,Recommandé par l'un des employés d'Adventure Works.,,0,0,0,0,someone@example.com,,,,"64 000,00",,Tony,,14,Directeur des achats,,Allen,Référence d'employé,,,First name Last name,1/24/2008,36,,Patricia San Juan,,1,,2,,,0,,,Midi - Pyrénées,Ouvert,1,223.0, boulevard du Dimanche,,50 VTT,,,,,,31100,0,1,2,10,0,0,2021-04-05 11:19:57.708896,124
